Rep;Composant;Désignation;Section / référence;Longueur débit (mm);Matériau;Type;Qté;Masse unit. (kg);Masse totale (kg);Fonction;Sous-ensemble soudé;Statut;Corps
001;01_CHASSIS;Longeron AV tronçon 1;Tube rect. 60×40×3;533;S235JR galvanisé à chaud;profilé;1;2.36;2.36;Longeron de châssis, reprise plancher et fourreaux;A — caisse mécano-soudée;;01-LON-AV-1
002;01_CHASSIS;Longeron AV tronçon 2;Tube rect. 60×40×3;670;S235JR galvanisé à chaud;profilé;1;2.97;2.97;Longeron de châssis, reprise plancher et fourreaux;A — caisse mécano-soudée;;01-LON-AV-2
003;01_CHASSIS;Longeron AV tronçon 3;Tube rect. 60×40×3;533;S235JR galvanisé à chaud;profilé;1;2.36;2.36;Longeron de châssis, reprise plancher et fourreaux;A — caisse mécano-soudée;;01-LON-AV-3
004;01_CHASSIS;Longeron AR tronçon 1;Tube rect. 60×40×3;533;S235JR galvanisé à chaud;profilé;1;2.36;2.36;Longeron de châssis, reprise plancher et fourreaux;A — caisse mécano-soudée;;01-LON-AR-1
005;01_CHASSIS;Longeron AR tronçon 2;Tube rect. 60×40×3;670;S235JR galvanisé à chaud;profilé;1;2.97;2.97;Longeron de châssis, reprise plancher et fourreaux;A — caisse mécano-soudée;;01-LON-AR-2
006;01_CHASSIS;Longeron AR tronçon 3;Tube rect. 60×40×3;533;S235JR galvanisé à chaud;profilé;1;2.36;2.36;Longeron de châssis, reprise plancher et fourreaux;A — caisse mécano-soudée;;01-LON-AR-3
007;01_CHASSIS;Traverse de châssis d'extrémité;Tube rect. 60×40×3;1016;S235JR galvanisé à chaud;profilé;2;4.50;9.00;Traverse de châssis, appui plancher / reprise roues et attelage;A — caisse mécano-soudée;;01-TRA-G 01-TRA-D
008;01_CHASSIS;Traverse de châssis intermédiaire;Tube rect. 60×40×3;1016;S235JR galvanisé à chaud;profilé;3;4.50;13.49;Traverse de châssis, appui plancher / reprise roues et attelage;A — caisse mécano-soudée;;01-TRA-I1 01-TRA-I2 01-TRA-I3
009;01_CHASSIS;Longeron d'attelage;Tube rect. 60×40×3;228;S235JR galvanisé à chaud;profilé;2;1.01;2.02;Reprise de l'effort de traction du crochet latéral vers le châssis;A — caisse mécano-soudée;;01-LAT-G 01-LAT-D
010;01_CHASSIS;Gousset d'angle de châssis;Gousset 100×100×5;;S235JR galvanisé à chaud;plat;4;0.20;0.78;Rigidification des nœuds d'angle du châssis;A — caisse mécano-soudée;;01-GOU-AVG 01-GOU-AVD 01-GOU-ARG 01-GOU-ARD
011;01_CHASSIS;Montant d'angle;Tube rect. 60×40×3;1438;S235JR galvanisé à chaud;profilé;4;6.37;25.47;Montant du cadre principal — chemin de charge des points de levage;A — caisse mécano-soudée;;01-MON-AVG 01-MON-AVD 01-MON-ARG 01-MON-ARD
012;01_CHASSIS;Traverse haute avant;Tube rect. 60×40×3;2196;S235JR galvanisé à chaud;profilé;1;9.72;9.72;Cadre haut — linteau de portes;A — caisse mécano-soudée;;01-CH-AV
013;01_CHASSIS;Traverse haute arrière;Tube rect. 60×40×3;2196;S235JR galvanisé à chaud;profilé;1;9.72;9.72;Cadre haut arrière;A — caisse mécano-soudée;;01-CH-AR
014;01_CHASSIS;Traverse haute latérale;Tube rect. 60×40×3;1016;S235JR galvanisé à chaud;profilé;2;4.50;9.00;Cadre haut latéral;A — caisse mécano-soudée;;01-CH-G 01-CH-D
015;02_SECONDARY_STRUCTURE;Lisse latérale;Tube carré 40×40×3;976;S235JR galvanisé à chaud;profilé;2;3.40;6.80;Raidisseur de panneau latéral + reprise des supports de barre de manutention;A — caisse mécano-soudée;;02-LIS-G 02-LIS-D
016;02_SECONDARY_STRUCTURE;Montant arrière intermédiaire;Tube carré 40×40×3;1434;S235JR galvanisé à chaud;profilé;1;5.00;5.00;Raidisseur panneau arrière;A — caisse mécano-soudée;;02-MON-AR
017;02_SECONDARY_STRUCTURE;Lisse arrière;Tube carré 40×40×3;1038;S235JR galvanisé à chaud;profilé;2;3.62;7.24;Raidisseur panneau arrière;A — caisse mécano-soudée;;02-LIS-AR-1 02-LIS-AR-2
018;02_SECONDARY_STRUCTURE;Traverse de toit;Tube carré 40×40×3;1016;S235JR galvanisé à chaud;profilé;2;3.54;7.08;Raidisseur de toit;A — caisse mécano-soudée;;02-TT-1 02-TT-2
019;02_SECONDARY_STRUCTURE;Gousset de reprise d'attelage;Gousset 100×100×5;;S235JR galvanisé à chaud;plat;4;0.20;0.78;Transfert de l'effort de traction de la traverse d'extrémité vers le longeron d'attelage;A — caisse mécano-soudée;;02-GOU-ATT-G1 02-GOU-ATT-G2 02-GOU-ATT-D1 02-GOU-ATT-D2
020;03_FLOOR;Plancher;Tôle ép. 4;;S235JR galvanisé à chaud;tôle;1;75.27;75.27;Plancher structurel, reprise charge utile;A — caisse mécano-soudée;PROVISOIRE (ép. 4, larmée à valider);03-PLA
021;04_ROOF;Tôle de toit;Tôle ép. 2;;S235JR galvanisé à chaud;tôle;1;37.53;37.53;Couverture, étanchéité;A — caisse mécano-soudée;PROVISOIRE (ép.);04-TOI
022;05_SIDE_PANELS;Panneau latéral gauche;Tôle ép. 2;;S235JR galvanisé à chaud;tôle;1;25.85;25.85;Paroi latérale (face 1100) porteuse de la barre de manutention;A — caisse mécano-soudée;PROVISOIRE (ép.);05-PAN-G
023;05_SIDE_PANELS;Panneau latéral droit;Tôle ép. 2;;S235JR galvanisé à chaud;tôle;1;25.85;25.85;Paroi latérale (face 1100) porteuse de la barre de manutention;A — caisse mécano-soudée;PROVISOIRE (ép.);05-PAN-D
024;06_REAR_PANEL;Panneau arrière;Tôle ép. 2;;S235JR galvanisé à chaud;tôle;1;51.65;51.65;Paroi arrière;A — caisse mécano-soudée;PROVISOIRE (ép.);06-PAN-AR
025;07_FRONT_DOORS;Vantail G — Tôle de parement;Tôle ép. 2;;S235JR galvanisé à chaud;tôle;1;23.46;23.46;Vantail de porte avant (face 2200);B — vantail mécano-soudé gauche;;07-VG-1
026;07_FRONT_DOORS;Vantail G — Montant côté charnières;Tube carré 40×40×3;1423;S235JR galvanisé à chaud;profilé;1;4.96;4.96;Vantail de porte avant (face 2200);B — vantail mécano-soudé gauche;;07-VG-2
027;07_FRONT_DOORS;Vantail G — Montant côté battement;Tube carré 40×40×3;1423;S235JR galvanisé à chaud;profilé;1;4.96;4.96;Vantail de porte avant (face 2200);B — vantail mécano-soudé gauche;;07-VG-3
028;07_FRONT_DOORS;Vantail G — Traverse basse;Tube carré 40×40×3;970;S235JR galvanisé à chaud;profilé;1;3.38;3.38;Vantail de porte avant (face 2200);B — vantail mécano-soudé gauche;;07-VG-4
029;07_FRONT_DOORS;Vantail G — Traverse haute;Tube carré 40×40×3;970;S235JR galvanisé à chaud;profilé;1;3.38;3.38;Vantail de porte avant (face 2200);B — vantail mécano-soudé gauche;;07-VG-5
030;07_FRONT_DOORS;Vantail G — Traverse intermédiaire;Tube carré 40×40×3;970;S235JR galvanisé à chaud;profilé;1;3.38;3.38;Vantail de porte avant (face 2200);B — vantail mécano-soudé gauche;;07-VG-6
