Identifiant;Composant;Nom;Matériau;Qté;Fonction;Type;Section;Longueur (mm);Masse (kg);Mobile;Sous-ensemble soudé;Statut;Dans BOM
01-LON-AV-1;01_CHASSIS;Longeron AV tronçon 1;S235JR galvanisé à chaud;1;Longeron de châssis, reprise plancher et fourreaux;profilé;Tube rect. 60×40×3;533;2.360;;A — caisse mécano-soudée;;oui
01-LON-AV-2;01_CHASSIS;Longeron AV tronçon 2;S235JR galvanisé à chaud;1;Longeron de châssis, reprise plancher et fourreaux;profilé;Tube rect. 60×40×3;670;2.966;;A — caisse mécano-soudée;;oui
01-LON-AV-3;01_CHASSIS;Longeron AV tronçon 3;S235JR galvanisé à chaud;1;Longeron de châssis, reprise plancher et fourreaux;profilé;Tube rect. 60×40×3;533;2.360;;A — caisse mécano-soudée;;oui
01-LON-AR-1;01_CHASSIS;Longeron AR tronçon 1;S235JR galvanisé à chaud;1;Longeron de châssis, reprise plancher et fourreaux;profilé;Tube rect. 60×40×3;533;2.360;;A — caisse mécano-soudée;;oui
01-LON-AR-2;01_CHASSIS;Longeron AR tronçon 2;S235JR galvanisé à chaud;1;Longeron de châssis, reprise plancher et fourreaux;profilé;Tube rect. 60×40×3;670;2.966;;A — caisse mécano-soudée;;oui
01-LON-AR-3;01_CHASSIS;Longeron AR tronçon 3;S235JR galvanisé à chaud;1;Longeron de châssis, reprise plancher et fourreaux;profilé;Tube rect. 60×40×3;533;2.360;;A — caisse mécano-soudée;;oui
01-TRA-G;01_CHASSIS;Traverse de châssis d'extrémité;S235JR galvanisé à chaud;1;Traverse de châssis, appui plancher / reprise roues et attelage;profilé;Tube rect. 60×40×3;1016;4.498;;A — caisse mécano-soudée;;oui
01-TRA-D;01_CHASSIS;Traverse de châssis d'extrémité;S235JR galvanisé à chaud;1;Traverse de châssis, appui plancher / reprise roues et attelage;profilé;Tube rect. 60×40×3;1016;4.498;;A — caisse mécano-soudée;;oui
01-TRA-I1;01_CHASSIS;Traverse de châssis intermédiaire;S235JR galvanisé à chaud;1;Traverse de châssis, appui plancher / reprise roues et attelage;profilé;Tube rect. 60×40×3;1016;4.498;;A — caisse mécano-soudée;;oui
01-TRA-I2;01_CHASSIS;Traverse de châssis intermédiaire;S235JR galvanisé à chaud;1;Traverse de châssis, appui plancher / reprise roues et attelage;profilé;Tube rect. 60×40×3;1016;4.498;;A — caisse mécano-soudée;;oui
01-TRA-I3;01_CHASSIS;Traverse de châssis intermédiaire;S235JR galvanisé à chaud;1;Traverse de châssis, appui plancher / reprise roues et attelage;profilé;Tube rect. 60×40×3;1016;4.498;;A — caisse mécano-soudée;;oui
01-GOU-AVG;01_CHASSIS;Gousset d'angle de châssis;S235JR galvanisé à chaud;1;Rigidification des nœuds d'angle du châssis;plat;Gousset 100×100×5;;0.196;;A — caisse mécano-soudée;;oui
01-GOU-AVD;01_CHASSIS;Gousset d'angle de châssis;S235JR galvanisé à chaud;1;Rigidification des nœuds d'angle du châssis;plat;Gousset 100×100×5;;0.196;;A — caisse mécano-soudée;;oui
01-GOU-ARG;01_CHASSIS;Gousset d'angle de châssis;S235JR galvanisé à chaud;1;Rigidification des nœuds d'angle du châssis;plat;Gousset 100×100×5;;0.196;;A — caisse mécano-soudée;;oui
01-GOU-ARD;01_CHASSIS;Gousset d'angle de châssis;S235JR galvanisé à chaud;1;Rigidification des nœuds d'angle du châssis;plat;Gousset 100×100×5;;0.196;;A — caisse mécano-soudée;;oui
01-MON-AVG;01_CHASSIS;Montant d'angle;S235JR galvanisé à chaud;1;Montant du cadre principal — chemin de charge des points de levage;profilé;Tube rect. 60×40×3;1438;6.367;;A — caisse mécano-soudée;;oui
01-MON-AVD;01_CHASSIS;Montant d'angle;S235JR galvanisé à chaud;1;Montant du cadre principal — chemin de charge des points de levage;profilé;Tube rect. 60×40×3;1438;6.367;;A — caisse mécano-soudée;;oui
01-MON-ARG;01_CHASSIS;Montant d'angle;S235JR galvanisé à chaud;1;Montant du cadre principal — chemin de charge des points de levage;profilé;Tube rect. 60×40×3;1438;6.367;;A — caisse mécano-soudée;;oui
01-MON-ARD;01_CHASSIS;Montant d'angle;S235JR galvanisé à chaud;1;Montant du cadre principal — chemin de charge des points de levage;profilé;Tube rect. 60×40×3;1438;6.367;;A — caisse mécano-soudée;;oui
01-CH-AV;01_CHASSIS;Traverse haute avant;S235JR galvanisé à chaud;1;Cadre haut — linteau de portes;profilé;Tube rect. 60×40×3;2196;9.723;;A — caisse mécano-soudée;;oui
01-CH-AR;01_CHASSIS;Traverse haute arrière;S235JR galvanisé à chaud;1;Cadre haut arrière;profilé;Tube rect. 60×40×3;2196;9.723;;A — caisse mécano-soudée;;oui
01-CH-G;01_CHASSIS;Traverse haute latérale;S235JR galvanisé à chaud;1;Cadre haut latéral;profilé;Tube rect. 60×40×3;1016;4.498;;A — caisse mécano-soudée;;oui
01-CH-D;01_CHASSIS;Traverse haute latérale;S235JR galvanisé à chaud;1;Cadre haut latéral;profilé;Tube rect. 60×40×3;1016;4.498;;A — caisse mécano-soudée;;oui
02-LIS-G;02_SECONDARY_STRUCTURE;Lisse latérale;S235JR galvanisé à chaud;1;Raidisseur de panneau latéral + reprise des supports de barre de manutention;profilé;Tube carré 40×40×3;976;3.402;;A — caisse mécano-soudée;;oui
02-LIS-D;02_SECONDARY_STRUCTURE;Lisse latérale;S235JR galvanisé à chaud;1;Raidisseur de panneau latéral + reprise des supports de barre de manutention;profilé;Tube carré 40×40×3;976;3.402;;A — caisse mécano-soudée;;oui
